N	NI	D	RH	RM	RS	V	DG	DM	DS	VMAG
N	379	*	1	7	15.7	+	32	31	13	12.8
N	380	*	1	7	17.6	+	32	28	58	12.5
N	381	*	1	8	20.0	+	61	35	0	9.3
N	382	*	1	7	23.9	+	32	24	12	13.2
N	383	*	1	7	24.9	+	32	24	44	12.2
N	384	*	1	7	25.0	+	32	17	34	13.1
N	385	*	1	7	27.2	+	32	19	10	13.0
N	386	*	1	7	31.2	+	32	21	45	14.3
N	387	*	1	7	33.0	+	32	23	27	15.5
N	388	*	1	7	47.1	+	32	18	38	14.3
N	389	*	1	8	29.8	+	39	41	42	14.0
N	390	*	1	7	53.7	+	32	26	1	
N	391	*	1	7	22.5	+	0	55	33	13.5
N	392	*	1	8	23.3	+	33	8	0	12.7
N	393	*	1	8	36.9	+	39	38	38	12.5
N	394	*	1	8	26.1	+	33	8	52	13.8
N	395	*	1	5	7.3	-	71	59	39	
N	396	*	1	8	8.5	+	4	31	51	15.7
N	397	*	1	8	31.0	+	33	6	35	14.8
N	398	*	1	8	53.6	+	32	30	54	14.5
N	399	*	1	8	59.1	+	32	38	1	13.5
N	400	*	1	9	2.5	+	32	43	59	
N	401	*	1	9	7.7	+	32	45	36	
N	402	*	1	9	13.4	+	32	48	21	
N	403	*	1	9	14.2	+	32	45	6	12.5
N	404	*	1	9	26.9	+	35	43	6	10.3
N	405	*	1	8	33.6	-	46	40	6	
N	406	*	1	7	24.4	-	69	52	34	12.5
N	407	*	1	10	36.5	+	33	7	31	13.4
N	408	*	1	10	51.0	+	33	9	8	
N	409	*	1	9	33.2	-	35	48	20	13.0
N	410	*	1	10	58.8	+	33	9	9	11.5
N	411	*	1	7	55.7	-	71	46	7	12.2
N	412	*	1	10	20.0	-	20	0	54	
N	413	*	1	12	31.3	-	2	47	36	14.1
N	414	*	1	11	17.6	+	33	6	49	13.8
N	415	*	1	10	5.5	-	35	29	25	13.4
N	416	*	1	7	58.5	-	72	21	25	12.6
N	417	*	1	11	5.5	-	18	8	55	14.0
N	418	*	1	10	35.6	-	30	13	16	12.6
N	419	*	1	8	17.2	-	72	53	0	11.2
N	420	*	1	12	14.4	+	32	7	25	
N	421	*	1	12	9.6	+	32	7	23	12.1
N	422	*	1	9	25.4	-	71	46	0	13.4
N	423	*	1	11	22.1	-	29	14	4	13.5
N	424	*	1	11	27.6	-	38	5	1	12.9
N	425	*	1	13	2.7	+	38	46	9	12.7
N	426	*	1	12	48.5	-	0	17	23	12.9
N	427	*	1	12	19.2	-	32	3	40	14.0
N	428	*	1	12	55.6	+	0	58	53	11.5
N	429	*	1	12	57.4	-	0	20	42	13.4
N	430	*	1	12	59.9	-	0	15	9	12.5
N	431	*	1	14	4.6	+	33	42	19	12.9
N	432	*	1	11	46.3	-	61	31	39	13.0
N	433	*	1	15	9.2	+	60	7	33	
N	434	*	1	12	14.3	-	58	14	50	12.0
N	434		1	12	30.2	-	58	12	28	14.9
N	435	*	1	13	59.8	+	2	4	16	14.2
N	436	*	1	15	58.0	+	58	48	42	8.8
N	437	*	1	14	22.3	+	5	55	35	12.8
N	438	*	1	13	34.3	-	37	54	5	12.8
N	439	*	1	13	47.2	-	31	44	50	11.5
N	440	*	1	12	48.4	-	58	16	58	13.2
N	441	*	1	13	51.1	-	31	47	20	12.7
N	442	*	1	14	38.6	-	1	1	14	13.4
N	443	*	1	15	7.5	+	33	22	40	13.1
N	444	*	1	15	49.6	+	31	4	50	14.3
N	445	*	1	14	52.6	+	1	55	3	14.2
N	446	*	1	16	3.7	+	4	17	40	12.4
N	447	*	1	15	37.9	+	33	3	59	14.0
N	448	*	1	15	16.5	-	1	37	31	12.1
N	449	*	1	16	7.5	+	33	5	20	14.2
N	450	*	1	15	30.4	-	0	51	41	11.8
N	451	*	1	16	12.4	+	33	3	49	14.0
N	452	*	1	16	15.0	+	31	2	0	12.5
N	453	*	1	16	17.3	+	33	0	53	
N	454	*	1	14	21.6	-	55	24	2	12.2
N	454		1	14	24.8	-	55	23	50	13.7
N	455	*	1	15	57.6	+	5	10	42	12.7
N	456	*	1	13	46.0	-	73	17	30	
N	457	*	1	19	33.0	+	58	17	42	6.4
N	458	*	1	14	51.6	-	71	33	4	
N	459	*	1	18	8.2	+	17	33	45	14.4
N	460	*	1	14	38.0	-	73	17	30	12.5
N	461	*	1	17	20.3	-	33	50	28	13.3
N	462	*	1	18	10.9	+	4	13	35	14.7
N	463	*	1	18	58.2	+	16	19	31	14.1
N	464	*	1	19	26.6	+	34	57	21	
N	465	*	1	15	42.7	-	73	19	27	11.5
N	466	*	1	17	13.5	-	58	54	35	12.7
N	467	*	1	19	10.1	+	3	18	5	11.8
N	468	*	1	19	48.4	+	32	46	2	14.3
N	469	*	1	19	33.0	+	14	52	19	14.1
N	470	*	1	19	44.8	+	3	24	33	11.8
N	471	*	1	19	59.6	+	14	47	9	13.3
N	472	*	1	20	28.9	+	32	42	30	13.3
N	473	*	1	19	54.9	+	16	32	42	12.5
N	474	*	1	20	6.7	+	3	24	58	11.5
N	475	*	1	20	1.9	+	14	51	42	15.0
N	476	*	1	20	19.8	+	16	1	14	14.4
N	477	*	1	21	20.3	+	40	29	19	13.0
N	478	*	1	20	8.9	-	22	22	41	13.9
N	479	*	1	21	15.7	+	3	51	46	13.9
N	480	*	1	20	34.3	-	9	52	49	15.2
N	481	*	1	21	12.6	-	9	12	40	13.3
N	482	*	1	20	20.4	-	40	57	58	13.3
N	483	*	1	21	56.3	+	33	31	14	13.2
N	484	*	1	19	34.8	-	58	31	28	11.1
N	485	*	1	21	27.5	+	7	1	5	13.2
N	486	*	1	21	43.0	+	5	20	47	15.0
N	487	*	1	21	55.0	-	16	22	12	13.4
N	488	*	1	21	46.6	+	5	15	21	10.3
N	489	*	1	21	53.8	+	9	12	23	12.7
N	490	*	1	22	2.8	+	5	22	4	14.4
N	491	*	1	21	20.2	-	34	3	49	12.5
N	491		1	20	5.0	-	33	54	2	13.8
N	492	*	1	22	13.5	+	5	25	1	15.6
N	493	*	1	22	9.2	+	0	56	47	12.5
N	494	*	1	22	55.4	+	33	10	22	12.9
N	495	*	1	22	56.0	+	33	28	15	12.9
N	496	*	1	23	11.6	+	33	31	41	13.4
N	497	*	1	22	23.9	-	0	52	29	13.0
N	498	*	1	23	11.2	+	33	29	24	14.3
N	499	*	1	23	11.5	+	33	27	35	12.1
N	500	*	1	22	39.3	+	5	23	16	14.2
N	501	*	1	23	22.4	+	33	26	1	14.5
N	502	*	1	22	55.6	+	9	2	58	12.8
N	503	*	1	23	28.4	+	33	19	56	14.1
N	504	*	1	23	28.1	+	33	12	14	13.0
N	505	*	1	22	57.1	+	9	28	8	13.8
N	506	*	1	23	35.5	+	33	14	38	
N	507	*	1	23	40.0	+	33	15	24	11.2
N	508	*	1	23	40.7	+	33	16	49	13.1
N	509	*	1	23	24.1	+	9	26	0	13.4
N	510	*	1	23	55.5	+	33	29	51	
N	511	*	1	23	30.7	+	11	17	27	13.7
N	512	*	1	23	59.8	+	33	54	26	13.2
N	513	*	1	24	26.9	+	33	47	56	13.0
N	514	*	1	24	3.9	+	12	55	2	11.7
N	515	*	1	24	38.7	+	33	28	20	13.0
N	516	*	1	24	8.0	+	9	33	7	13.1
N	517	*	1	24	43.8	+	33	25	44	12.5
N	518	*	1	24	17.7	+	9	19	51	13.3
N	519	*	1	24	28.7	-	1	38	29	14.3
